Gesztenye sült,245,mag
Napraforgó,584,mag
Kesudió,557,mag
Mandula,579,mag
Tökmag,574,mag
Lenmag,534,mag
Szezámmag,573,mag
Fókaolaj,899,zsirolaj
Halolaj,902,zsirolaj
Napraforgóolaj,880,zsirolaj
Szűz olivaolaj,900,zsirolaj
Kakaóvaj,884,zsirolaj
Olivaolaj,884,zsirolaj
Szőlőmagolaj,884,zsirolaj
Kókuszdióolaj,892,zsirolaj
Kacsazsír,882,zsirolaj
Libazsír,900,zsirolaj
Sertészsír,902,zsirolaj
Pálmaolaj,884,zsirolaj
Mogyoróolaj,884,zsirolaj
Kukoricaolaj,900,zsirolaj
Margarin 60%-os,526,zsirolaj
Repceolaj,891,zsirolaj
Tea,45,udito
Víz,0,udito
Szénsavas víz,0,udito
Ízesített víz,35,udito
Szénsavas üdítők,42-45 között,udito
Coca-cola light,0,udito
Gyümölcslé 100%-os,58,udito
Gyümölcslé 50%-os,45,udito
Gyümölcslé 12%-os,33,udito
Sör,43,alkoholos
Vörösbor,85,alkoholos
Fehérbor,82,alkoholos
Tequila,110,alkoholos
Aszú,116,alkoholos
Konyak,217,alkoholos
Pezsgő,65,alkoholos
Whisky,250,alkoholos
Vodka,231,alkoholos
Pálinka,260,alkoholos
Gin,263,alkoholos
Likőr,336,alkoholos
Párizsi,130,huskeszitm
Virsli,190,huskeszitm
F.kolbász,316,huskeszitm
Főzőkolbász,301,huskeszitm
Krinolin,206,huskeszitm
Gépsonka,88,huskeszitm
Löncshús,176,huskeszitm
Téliszalámi,524,huskeszitm
Túrista,372,huskeszitm
Olasz felv.,251,huskeszitm
Zala felv.,218,huskeszitm
Sötő kolbász,346,huskeszitm
Húskenyér,303,huskeszitm
Zsírszalonna,520,huskeszitm
Angolszal.,240,huskeszitm
Császárszal.,367,huskeszitm
Kacsamájas,282,huskeszitm
Libamájas,194,huskeszitm
Disznósajt,249,huskeszitm
Tavaszi felv.,209,huskeszitm
Veronai felv.,288,huskeszitm
Májas hurka,379,huskeszitm
Véreshurka,250,huskeszitm
Papr.szalámi,520,huskeszitm
Füst.Tarja,236,huskeszitm
Pukyasonka,111,huskeszitm
Sertésmájas,237,huskeszitm
